Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
41,Yes,Travel_Rarely,Sales,1,College,'Life Sciences',Medium,Female,High,Professional,'Sales Executive',VeryHigh,Single,5993,Yes,11,Excellent,Low,Level1,8,Low,6,4,0,5
49,No,Travel_Frequently,'Research & Development',8,BelowCollege,'Life Sciences',High,Male,Medium,Professional,'Research Scientist',Medium,Married,5130,No,23,Outstanding,VeryHigh,Level2,10,High,10,7,1,7
37,Yes,Travel_Rarely,'Research & Development',2,College,Other,VeryHigh,Male,Medium,AssociateProfessional,'Laboratory Technician',High,Single,2090,Yes,15,Excellent,Medium,Level1,7,High,0,0,0,0
33,No,Travel_Frequently,'Research & Development',3,Master,'Life Sciences',VeryHigh,Female,High,AssociateProfessional,'Research Scientist',High,Married,2909,Yes,11,Excellent,High,Level1,8,High,8,7,3,0
27,No,Travel_Rarely,'Research & Development',2,BelowCollege,Medical,Low,Male,High,AssociateProfessional,'Laboratory Technician',Medium,Married,3468,No,12,Excellent,VeryHigh,Level2,6,High,2,2,2,2
32,No,Travel_Frequently,'Research & Development',2,College,'Life Sciences',VeryHigh,Male,High,AssociateProfessional,'Laboratory Technician',VeryHigh,Single,3068,No,13,Excellent,High,Level1,8,Medium,7,7,3,6
59,No,Travel_Rarely,'Research & Development',3,Bachelor,Medical,High,Female,VeryHigh,AssociateProfessional,'Laboratory Technician',Low,Married,2670,Yes,20,Outstanding,Low,Level4,12,Medium,1,0,0,0
30,No,Travel_Rarely,'Research & Development',24,BelowCollege,'Life Sciences',VeryHigh,Male,High,AssociateProfessional,'Laboratory Technician',High,Divorced,2693,No,22,Outstanding,Medium,Level2,1,High,1,0,0,0
38,No,Travel_Frequently,'Research & Development',23,Bachelor,'Life Sciences',VeryHigh,Male,Medium,AssociateManager,'Manufacturing Director',High,Single,9526,No,21,Outstanding,Medium,Level1,10,High,9,7,1,8
36,No,Travel_Rarely,'Research & Development',27,Bachelor,Medical,High,Male,High,Professional,'Healthcare Representative',High,Married,5237,No,13,Excellent,Medium,Level3,17,Medium,7,7,7,7
35,No,Travel_Rarely,'Research & Development',16,Bachelor,Medical,Low,Male,VeryHigh,AssociateProfessional,'Laboratory Technician',Medium,Married,2426,No,13,Excellent,High,Level2,6,High,5,4,0,3
29,No,Travel_Rarely,'Research & Development',15,College,'Life Sciences',VeryHigh,Female,Medium,Professional,'Laboratory Technician',High,Single,4193,Yes,12,Excellent,VeryHigh,Level1,10,High,9,5,0,8
31,No,Travel_Rarely,'Research & Development',26,BelowCollege,'Life Sciences',Low,Male,High,AssociateProfessional,'Research Scientist',High,Divorced,2911,No,17,Excellent,VeryHigh,Level2,5,Medium,5,2,4,3
34,No,Travel_Rarely,'Research & Development',19,College,Medical,Medium,Male,High,AssociateProfessional,'Laboratory Technician',VeryHigh,Divorced,2661,No,11,Excellent,High,Level2,3,High,2,2,1,2
28,Yes,Travel_Rarely,'Research & Development',24,Bachelor,'Life Sciences',High,Male,Medium,AssociateProfessional,'Laboratory Technician',High,Single,2028,Yes,14,Excellent,Medium,Level1,6,High,4,2,0,3
29,No,Travel_Rarely,'Research & Development',21,Master,'Life Sciences',Medium,Female,VeryHigh,AssociateManager,'Manufacturing Director',Low,Divorced,9980,No,11,Excellent,High,Level2,10,High,10,9,8,8
32,No,Travel_Rarely,'Research & Development',5,College,'Life Sciences',Low,Male,VeryHigh,AssociateProfessional,'Research Scientist',Medium,Divorced,3298,Yes,12,Excellent,VeryHigh,Level3,7,Medium,6,2,0,5
22,No,Non-Travel,'Research & Development',16,College,Medical,VeryHigh,Male,VeryHigh,AssociateProfessional,'Laboratory Technician',VeryHigh,Divorced,2935,Yes,13,Excellent,Medium,Level3,1,Medium,1,0,0,0
53,No,Travel_Rarely,Sales,2,Master,'Life Sciences',Low,Female,Medium,Manager,Manager,VeryHigh,Married,15427,No,16,Excellent,High,Level1,31,High,25,8,3,7
38,No,Travel_Rarely,'Research & Development',2,Bachelor,'Life Sciences',VeryHigh,Male,High,AssociateProfessional,'Research Scientist',VeryHigh,Single,3944,Yes,11,Excellent,High,Level1,6,High,3,2,1,2
24,No,Non-Travel,'Research & Development',11,College,Other,Low,Female,VeryHigh,Professional,'Manufacturing Director',High,Divorced,4011,No,18,Excellent,VeryHigh,Level2,5,Medium,4,2,1,3
